,(treatmentProtected_D1_Prime - treatmentProtected_D0_Prime),(treatmentProtected_D3_Prime - treatmentProtected_D0_Prime),(treatmentProtected_D7_Prime - treatmentProtected_D0_Prime),(treatmentProtected_D14_Prime - treatmentProtected_D0_Prime),(treatmentProtected_BD0_Boost - treatmentProtected_D0_Prime),(treatmentProtected_BD1_Boost - treatmentProtected_D0_Prime),(treatmentProtected_BD3_Boost - treatmentProtected_D0_Prime),(treatmentProtected_BD7_Boost - treatmentProtected_D0_Prime),(treatmentProtected_BD14_Boost - treatmentProtected_D0_Prime),(treatmentUnprotected_D1_Prime - treatmentUnprotected_D0_Prime),(treatmentUnprotected_D3_Prime - treatmentUnprotected_D0_Prime),(treatmentUnprotected_D7_Prime - treatmentUnprotected_D0_Prime),(treatmentUnprotected_D14_Prime - treatmentUnprotected_D0_Prime),(treatmentUnprotected_BD0_Boost - treatmentUnprotected_D0_Prime),(treatmentUnprotected_BD1_Boost - treatmentUnprotected_D0_Prime),(treatmentUnprotected_BD3_Boost - treatmentUnprotected_D0_Prime),(treatmentUnprotected_BD7_Boost - treatmentUnprotected_D0_Prime),(treatmentUnprotected_BD14_Boost - treatmentUnprotected_D0_Prime),tiW0D1.vaccProt.grS...tiW0D0.vaccProt.grS,tiW0D3.vaccProt.grS..tiW0D0.vaccProt.grS,tiW0D7.vaccProt.grS..tiW0D0.vaccProt.grS,tiW18D0.vaccProt.grS..tiW0D0.vaccProt.grS,tiW18D1.vaccProt.grS..tiW0D0.vaccProt.grS,tiW18D3.vaccProt.grS..tiW0D0.vaccProt.grS,tiW0D1.vaccInfe.grS...tiW0D0.vaccInfe.grS,tiW0D3.vaccInfe.grS..tiW0D0.vaccInfe.grS,tiW0D7.vaccInfe.grS..tiW0D0.vaccInfe.grS,tiW18D0.vaccInfe.grS..tiW0D0.vaccInfe.grS,tiW18D1.vaccInfe.grS..tiW0D0.vaccInfe.grS,tiW18D7.vaccInfe.grS..tiW0D0.vaccInfe.grS
UGCG,0.6459992,-0.205334856,-0.02594081,0.11978929,0.441140324,0.487127389,0.100078533,0.316278534,0.271062794,0.2109025,-0.185880735,-0.213568046,-0.145273711,0.058735719,0.018210582,0.107462761,-0.002927818,-0.060655775,0.699828438,0.886699124,0.447228844,0.55290703,-0.115137511,0.832609968,0.575617653,-0.271463809,-0.343032809,0.402003403,-0.263849445,-0.62048516
CNTROB,-0.574037648,-0.037183656,0.037115807,-0.003922479,-0.415385121,-0.507658211,-0.119838894,-0.055869745,-0.202398322,-0.181118181,-0.006668218,0.285363346,0.364378985,0.100271822,-0.068052931,0.11598015,0.17392966,0.204856157,-0.30143441,-0.248762538,-0.008532182,-0.150194591,0.064686231,-0.199938612,-0.145087032,0.30246526,0.347386996,0.001870627,0.074760241,0.411571142
RO60,0.678068817,-0.004725379,-0.099979043,-0.029171593,0.073525105,0.216702988,-0.019031553,-0.01630882,-0.104583213,0.153468985,0.034201601,0.07074489,0.061041383,0.004288559,0.204362774,0.006126814,0.030579421,-0.048860613,0.977105199,0.928168684,0.424690834,0.449934353,0.264137049,0.698300713,0.737445776,-0.059151179,-0.081292534,0.29412023,0.105218889,-0.346621139
TMEM164,0.646146739,-0.202618928,-0.043133714,-0.183707225,0.319812555,0.71382692,0.063019956,0.026060478,0.093942789,0.210396641,-0.196164831,-0.256027364,-0.229624482,-0.108504116,0.23959595,0.065280999,-0.174037344,-0.225215029,0.656184325,0.500705848,0.133949406,0.428170572,0.2000882,0.517860085,0.518865192,-0.333485935,-0.116587311,0.198489852,-0.081209641,0.000126319
IFNLR1,0.267891658,-0.392322171,0.488746825,0.578832906,0.93474378,0.090058332,-0.567286397,0.53292832,0.644283935,-0.203513459,-0.822568751,-0.595099078,-0.495138047,0.011299769,-0.591967106,-0.878026348,-0.38779062,-0.331863135,0.201932368,0.490433289,0.212933245,0.394255228,-0.242541468,0.079503351,0.284222054,-0.253413648,-0.069323198,-0.121127106,-0.47067856,-0.306398475
STK38L,1.200668623,0.159261439,-0.12342975,-0.027926888,0.659862974,1.009532331,0.155637673,0.234241017,0.227550481,0.23099853,-0.156997567,-0.330612354,-0.328610248,-0.137790369,0.085082336,0.033023952,-0.145586523,-0.007170827,0.862622536,0.900881279,0.527534004,0.795731807,0.196483968,0.952081827,0.632029937,-0.183602012,-0.096895236,0.448897336,0.215737854,-0.769973967
MTF1,0.919607721,0.211354146,0.027168335,0.019604329,0.449868052,0.954240042,0.396197864,0.183503564,0.125557907,0.404809786,-0.037506546,-0.08060136,-0.184241377,5.90E-05,0.424543358,0.200307856,0.001197711,-0.067258203,0.567368454,0.278471885,-0.001575613,0.42021253,0.208116361,0.463988298,0.618833888,-0.022060222,-0.099480908,0.23569833,0.395252483,0.126558496
RNF13,0.781562337,0.087196937,-0.30601831,-0.125407317,0.400254867,0.787578632,0.022800129,0.00645499,0.005412442,0.315770195,0.007377547,-0.265584282,-0.236858071,-0.105899,0.15427959,-0.211591958,-0.274103144,-0.228709692,0.805912781,0.640224413,0.268809588,0.639231764,0.215996542,0.708165361,0.617598273,-0.158667957,-0.25310715,0.292331693,0.305041586,-0.536264686
SCYL2,0.153010363,-0.199584039,0.113065996,0.143274498,0.527043785,0.279232622,0.238057408,0.38581724,0.428467488,-0.080359029,-0.238700719,-0.017700685,-0.28260286,-0.124160471,-0.126709481,-0.027699947,0.306094006,0.125321693,0.520806617,0.527600195,0.369877891,0.603509381,-0.055971292,0.7389676,0.203140239,-0.353409817,-0.188946216,0.291006369,0.000731922,-0.46728895
HYI,-0.512862158,-0.100324709,-0.08946979,-0.09535084,-0.538767858,-0.626267975,-0.291117943,-0.170466031,-0.208275051,-0.010292644,0.094780189,0.15365581,0.185577097,0.054123384,-0.103931547,-0.004034654,0.059769013,0.053632812,-0.531397674,-0.458384936,-0.121650903,-0.395105525,-0.083833896,-0.560273215,-0.407206103,0.253937013,0.204844361,-0.25244677,-0.009684965,0.276528598
PLCL2,0.35583149,-0.063796446,0.192655483,0.053702677,0.292032933,0.273753205,-0.05435936,0.247137132,0.341655519,0.083112116,-0.046630236,-0.009200899,-0.149486272,-0.209730811,-0.096730213,0.056903127,0.421146555,0.218813194,0.284347169,0.091934894,0.032342156,0.293422599,0.094683529,0.38716669,-0.088410301,-0.448298135,-0.288209799,0.086825199,0.009217777,-0.245607138
TOR1AIP2,0.623248672,0.042732857,0.232280273,0.255240956,0.706213362,0.638974317,0.328384501,0.589125537,0.471801736,0.101841116,-0.346454072,-0.23501774,-0.033952764,0.127305662,0.087601669,0.008342572,0.134431974,0.007054781,0.740587824,0.704759987,0.27055038,0.623510747,0.303436721,0.77165901,0.766687139,-0.293675234,-0.281494057,0.590768468,0.130632668,-0.132300054
XIAP,1.039420962,0.21083185,0.217793868,0.225842898,0.917067863,1.020874538,0.410789489,0.708015836,0.581263891,0.524666654,-0.033696418,-0.115447479,-0.067892402,0.284464549,0.449623732,0.31860986,0.069758098,0.112023495,0.867162931,1.173275661,0.43813238,0.901359961,0.383444425,1.282727587,0.760550818,-0.14657312,-0.223390856,0.721789412,0.059354216,-0.483429517
PCGF5,1.296489091,0.356653401,-0.00017856,0.159791035,0.765531662,1.072644598,0.625358527,0.545901607,0.295964353,0.468922097,0.025342112,-0.145393631,-0.411223707,0.027192434,0.515118044,0.158023711,-0.140904466,-0.050688507,1.376219243,1.340261876,0.542228121,0.852323426,0.731572948,1.299965599,1.205137634,0.110822619,-0.016207493,0.711852506,0.558141415,-0.514531556
